101 Scores:,,,
Montage,Focality Score,v/m Score,Total Score
V_Montage,3.08,9.51,6.43
V_Montage(Narrow),1.76,4.39,2.63
V_Montage(ShiftedNorth),3.92,6.3,2.38
Nested,5.92,7.55,1.63
Parallel_Vertical(Narrow),5.36,6.76,1.4
X_Montage(Narrow),7.03,6.87,-0.16
Parallel_Horizontal(Narrow),7.81,7.28,-0.53
Parallel_Vertical(Wide),3.95,2.71,-1.24
Parallel_Vertical,5.45,3.43,-2.02
Little_Pairs,3.31,1.08,-2.23
Parallel_Horizontal,7.53,5.1,-2.43
Parallel_Horizontal(Wide),6.75,4.27,-2.48
Nested(Narrow),8.97,5.58,-3.39
X_Montage,10,5.59,-4.41
,,,
MB Scores:,,,
Montage,Focality Score,v/m Score,Total Score
V_Montage,1.79,10,8.21
Nested,4.66,9.74,5.08
Parallel_Horizontal(Narrow),5.61,9.12,3.51
X_Montage(Narrow),4.67,7.51,2.84
Parallel_Vertical(Narrow),4.65,7.08,2.43
V_Montage(ShiftedNorth),4.25,6.63,2.38
V_Montage(Narrow),3.63,5.12,1.49
Parallel_Horizontal,6.19,5.79,-0.4
Nested(Narrow),7.21,6.52,-0.69
Parallel_Horizontal(Wide),5.55,4.61,-0.94
Parallel_Vertical(Wide),4.61,3.15,-1.46
Parallel_Vertical,5.98,3.89,-2.09
Little_Pairs,3.3,1.1,-2.2
X_Montage,9.7,6.92,-2.78
,,,
Ernie Scores:,,,
Montage,Focality Score,v/m Score,Total Score
V_Montage,1.78,7.54,5.76
Parallel_Horizontal(Narrow),5.92,7.01,1.09
V_Montage(Narrow),2.68,3.7,1.02
Parallel_Vertical(Narrow),4.96,5.77,0.81
V_Montage(ShiftedNorth),4.24,4.98,0.74
Nested,6.07,6.71,0.64
X_Montage(Narrow),6.49,5.67,-0.82
Little_Pairs,2.61,1.05,-1.56
X_Montage(Wide),6.7,4.75,-1.95
Parallel_Vertical,5.13,3.13,-1.99
Parallel_Horizontal,6.7,4.61,-2.09
Nested(Narrow),7.4,5.26,-2.14
Parallel_Vertical(Wide),4.61,2.42,-2.19
Parallel_Horizontal(Wide),6.36,3.48,-2.88
X_Montage,8.8,5.55,-3.25
,,,
Overall Statistics:,,,
Mean Focality,177.5315698,,
Standard Deviation Focality,91.25764196,,
Mean v/m,1.648213023,,
Standard Deviation v/m,0.693280058,,
